vehID,routeKey,class,depart,arrival,travel_time,distance_m,on_express_s,admitted,denied
veh1384,654297629#6->564273553#0,veh_passenger,929.00,943.00,14.00,22.74,0.00,False,False
veh1383,24577455#0->465144361,veh_passenger,928.00,994.00,66.00,288.87,0.00,False,False
bus160,40140017#1->10629474#1,bus_bus,961.00,997.00,36.00,252.35,0.00,False,False
veh1411,11635067->335802672,veh_passenger,947.00,1020.00,73.00,1704.60,30.00,True,False
veh1493,1196008692#1->178583167#0,veh_passenger,1002.00,1020.00,18.00,189.73,0.00,False,False
veh1346,39920550#6->33683346#0,veh_passenger,903.00,1023.00,120.00,1043.86,0.00,False,False
truck76,-488788633#2->-39838691#3,truck_truck,913.00,1062.00,149.00,1234.36,0.00,False,False
veh1500,40140141#2->-257421487#0,veh_passenger,1006.00,1067.00,61.00,609.40,0.00,False,False
veh1502,-47224972#0->-47224972#0,veh_passenger,1081.00,1082.00,1.00,5.85,0.00,False,False
veh1358,39920593#5->-1323097580#1,veh_passenger,911.00,1102.00,191.00,579.34,0.00,False,False
veh1563,-50323229#2->1273251150#1,veh_passenger,1049.00,1104.00,55.00,346.03,0.00,False,False
bus165,40297715#3->39920550#4,bus_bus,991.00,1107.00,116.00,290.50,0.00,False,False
veh1417,-401226926#0->238219446#1,veh_passenger,951.00,1112.00,161.00,962.11,0.00,False,True
veh1587,240666069#0->428730800,veh_passenger,1065.00,1119.00,54.00,565.24,0.00,False,False
bus164,142741729#1->40139504#1,bus_bus,985.00,1141.00,156.00,568.58,0.00,False,False
bus187,428730793#0->460316444,bus_bus,1123.00,1144.00,21.00,181.64,0.00,False,False
veh1693,-40109290#3->-50323229#13,veh_passenger,1136.00,1148.00,12.00,53.08,0.00,False,False
veh1510,-1332638368#2->1421367508,veh_passenger,1015.00,1153.00,138.00,862.54,0.00,False,False
veh1649,39763700#0->39838657#2,veh_passenger,1106.00,1173.00,67.00,790.81,0.00,False,False
veh1756,1323097580#0->1323097580#0,veh_passenger,1179.00,1186.00,7.00,49.61,0.00,False,False
bus152,-1068144848#1->-428730807,bus_bus,913.00,1187.00,274.00,1143.03,38.00,False,False
veh1566,40140141#0->-240666072#1,veh_passenger,1051.00,1187.00,136.00,654.14,0.00,False,False
veh1573,40140141#6->-169562956,veh_passenger,1055.00,1198.00,143.00,687.13,0.00,False,False
veh1664,8887999#1->47225638#0,veh_passenger,1116.00,1206.00,90.00,957.11,0.00,False,False
veh1464,39838751#1->-10628430,veh_passenger,982.00,1211.00,229.00,364.15,0.00,False,False
veh1367,1337646271#0->515130026#0,veh_passenger,917.00,1217.00,300.00,1295.03,0.00,False,False
veh1420,-1068144845#4->47267010,veh_passenger,953.00,1222.00,269.00,2190.69,37.00,False,False
veh1438,1226645411->1211151635#1,veh_passenger,965.00,1223.00,258.00,2633.21,0.00,False,False
