vehID,routeKey,class,depart,arrival,travel_time,distance_m,on_express_s,admitted,denied
veh1384,654297629#6->564273553#0,veh_passenger,929.00,943.00,14.00,22.74,0.00,False,False
bus160,40140017#1->10629474#1,bus_bus,961.00,997.00,36.00,252.35,0.00,False,False
veh1383,24577455#0->465144361,veh_passenger,928.00,998.00,70.00,288.87,0.00,False,False
veh1493,1196008692#1->178583167#0,veh_passenger,1002.00,1021.00,19.00,189.73,0.00,False,False
veh1346,39920550#6->33683346#0,veh_passenger,903.00,1022.00,119.00,1043.86,0.00,False,False
veh1411,11635067->335802672,veh_passenger,947.00,1036.00,89.00,1704.60,39.00,False,False
veh957,511404874#0->515123439,veh_passenger,914.00,1041.00,127.00,859.10,0.00,False,False
veh1500,40140141#2->-257421487#0,veh_passenger,1006.00,1074.00,68.00,609.40,0.00,False,False
veh1390,33683458#2->40109290#5,veh_passenger,958.00,1094.00,136.00,483.86,0.00,False,False
veh1358,39920593#5->-1323097580#1,veh_passenger,911.00,1100.00,189.00,579.34,0.00,False,False
veh1563,-50323229#2->1273251150#1,veh_passenger,1049.00,1105.00,56.00,346.03,0.00,False,False
bus165,40297715#3->39920550#4,bus_bus,991.00,1107.00,116.00,290.50,0.00,False,False
veh1587,240666069#0->428730800,veh_passenger,1065.00,1109.00,44.00,565.24,0.00,False,False
veh1573,40140141#6->-169562956,veh_passenger,1055.00,1121.00,66.00,687.13,0.00,False,False
veh1367,1337646271#0->515130026#0,veh_passenger,917.00,1124.00,207.00,1295.03,0.00,False,False
bus164,142741729#1->40139504#1,bus_bus,985.00,1139.00,154.00,568.58,0.00,False,False
bus187,428730793#0->460316444,bus_bus,1123.00,1143.00,20.00,181.64,0.00,False,False
veh1693,-40109290#3->-50323229#13,veh_passenger,1136.00,1161.00,25.00,53.08,0.00,False,False
veh1366,515126385#1->40140141#7,veh_passenger,917.00,1166.00,249.00,2045.66,25.00,False,False
veh1649,39763700#0->39838657#2,veh_passenger,1106.00,1171.00,65.00,790.81,0.00,False,False
veh1566,40140141#0->-240666072#1,veh_passenger,1051.00,1186.00,135.00,654.14,0.00,False,False
veh1756,1323097580#0->1323097580#0,veh_passenger,1179.00,1186.00,7.00,49.61,0.00,False,False
bus152,-1068144848#1->-428730807,bus_bus,913.00,1187.00,274.00,1143.03,37.00,False,False
veh1664,8887999#1->47225638#0,veh_passenger,1116.00,1187.00,71.00,957.11,0.00,False,False
veh1542,-1335304373#2->39920593#5,veh_passenger,1035.00,1189.00,154.00,626.50,35.00,False,False
veh1464,39838751#1->-10628430,veh_passenger,982.00,1213.00,231.00,364.15,0.00,False,False
veh1438,1226645411->1211151635#1,veh_passenger,965.00,1222.00,257.00,2633.21,0.00,False,False
veh1420,-1068144845#4->47267010,veh_passenger,953.00,1225.00,272.00,2190.69,36.00,False,False
veh1811,-1254633077#1->-50323229#14,veh_passenger,1215.00,1229.00,14.00,86.80,0.00,False,False
veh1596,40139504#1->654297630,veh_passenger,1071.00,1235.00,164.00,710.52,0.00,False,False
veh1510,-1332638368#2->1421367508,veh_passenger,1013.00,1241.00,228.00,862.54,0.00,False,False
truck95,1214520074#5->-12247568#1,truck_truck,1141.00,1282.00,141.00,1159.71,0.00,False,False
truck76,-488788633#2->-39838691#3,truck_truck,913.00,1283.00,370.00,1234.36,0.00,False,False
veh1505,1335304375->-474143552#6,veh_passenger,1010.00,1283.00,273.00,493.31,174.00,False,False
veh1557,1335304376#1->39920550#2,veh_passenger,1045.00,1283.00,238.00,852.32,120.00,False,False
veh1656,515124966->-450616334#0,veh_passenger,1113.00,1285.00,172.00,1136.71,0.00,False,False
veh1740,-1125986406#0->967985513#2,veh_passenger,1167.00,1293.00,126.00,1175.09,0.00,False,False
veh1830,-169562956->-1260485931#0,veh_passenger,1228.00,1297.00,69.00,726.42,0.00,False,False
veh1525,475044040#4->-238219449,veh_passenger,1183.00,1300.00,117.00,484.27,0.00,False,False
veh1538,47087992#0->240666069#2,veh_passenger,1032.00,1306.00,274.00,2242.99,11.00,False,False
veh1547,39920011#1->-40036009#2,veh_passenger,1038.00,1307.00,269.00,1323.53,0.00,False,False
veh1776,-33683346#0->1326193809,veh_passenger,1191.00,1317.00,126.00,470.56,0.00,False,False
veh1467,1332638368#2->47087992#3,veh_passenger,984.00,1319.00,335.00,1452.81,0.00,False,False
veh1377,1211151635#0->1214520074#2,veh_passenger,926.00,1320.00,394.00,1239.98,0.00,False,False
veh1610,1064476620#3->-654297637#1,veh_passenger,1080.00,1321.00,241.00,546.13,0.00,False,False
veh1879,-39921672->72157794,veh_passenger,1260.00,1341.00,81.00,521.96,0.00,False,False
veh1820,47224972#1->1118804256#0,veh_passenger,1221.00,1347.00,126.00,1669.72,38.00,False,False
veh1423,-687878722#0->488788636#0,veh_passenger,955.00,1355.00,400.00,954.49,0.00,False,False
veh1903,1067928305#0->1015424648,veh_passenger,1277.00,1366.00,89.00,945.68,0.00,False,False
veh1907,40297715#2->39920593#5,veh_passenger,1279.00,1367.00,88.00,180.06,0.00,False,False
veh1558,178699058->-1015424648,veh_passenger,1045.00,1379.00,334.00,2377.45,39.00,False,False
truck84,1214520075->1074771170,truck_truck,1019.00,1385.00,366.00,983.71,0.00,False,False
veh1645,15420537#1->9833223,veh_passenger,1104.00,1391.00,287.00,2275.88,17.00,False,False
veh2034,465144361->1235754993#1,veh_passenger,1379.00,1399.00,20.00,209.69,0.00,False,False
veh2075,-39838691#10->-39838691#8,veh_passenger,1392.00,1402.00,10.00,71.68,0.00,False,False
veh1452,1298335703->511405572,veh_passenger,974.00,1419.00,445.00,917.29,0.00,False,False
veh1721,178699049->178583153-AddedOnRampEdge,veh_passenger,1155.00,1437.00,282.00,4114.60,75.00,False,False
veh2121,39366819#0->39838691#5,veh_passenger,1423.00,1458.00,35.00,326.94,0.00,False,False
veh2117,513082635#0->515123442#4,veh_passenger,1420.00,1462.00,42.00,710.95,15.00,False,False
veh1875,-39838691#2->240666069#1,veh_passenger,1258.00,1468.00,210.00,1495.93,0.00,False,False
veh2202,15419971#0->15419971#1,veh_passenger,1477.00,1487.00,10.00,94.37,0.00,False,False
veh1847,515136603->1337115429,veh_passenger,1239.00,1489.00,250.00,2524.80,0.00,False,False
veh1773,-224146621->-47267007#2,veh_passenger,1189.00,1495.00,306.00,2221.05,11.00,False,False
veh1948,-1204070283#0->178441748#1,veh_passenger,1310.00,1495.00,185.00,1167.33,0.00,False,False
veh2114,39838657#1->-564273553#3,veh_passenger,1418.00,1495.00,77.00,413.26,0.00,False,False
veh2062,39920505#6->33683346#3,veh_passenger,1383.00,1497.00,114.00,828.94,0.00,False,False
veh1417,-401226926#0->238219446#1,veh_passenger,951.00,1504.00,553.00,962.11,254.00,False,False
veh2107,1196008692#1->900399275,veh_passenger,1413.00,1510.00,97.00,2158.83,68.00,False,False
veh2098,-39920593#2->40138239#4,veh_passenger,1407.00,1514.00,107.00,583.80,0.00,False,False
veh1996,515138054->178702239#0,veh_passenger,1339.00,1515.00,176.00,2368.66,28.00,False,False
veh1927,1068144848#1->1100626097,veh_passenger,1293.00,1538.00,245.00,1320.35,7.00,False,False
